title,description,price,count
Wireless Bluetooth Headphones,Premium noise-canceling over-ear headphones with 30-hour battery life,89.99,150
Smart Fitness Watch,Water-resistant fitness tracker with heart rate monitor and GPS,199.99,75
Portable Phone Charger,20000mAh power bank with fast charging and dual USB ports,34.99,200
Laptop Backpack,Durable anti-theft backpack with USB charging port and laptop compartment,45.50,120
LED Desk Lamp,Adjustable brightness touch control lamp with USB charging port,28.99,300
Wireless Gaming Mouse,Ergonomic RGB gaming mouse with 6 programmable buttons,59.99,95
Mechanical Keyboard,RGB backlit mechanical keyboard with blue switches,129.99,60
4K Webcam,Ultra HD webcam with auto-focus and built-in microphone,79.99,110
Portable Bluetooth Speaker,Waterproof wireless speaker with 12-hour battery life,49.99,180
USB-C Hub,7-in-1 USB-C adapter with HDMI 4K HDMI and SD card reader,39.99,250
